score date Name1 Name2
74 1644175935 Andras Reichardt
78 1644176080 Andras Reichardt
70 1644176280 Andras Reichardt
77 1644176370 Andras Reichardt
60 1644176636 Andras Reichardt
92 1644176964 Andras Reichardt
59 1644177204 Andras Reichardt
67 1644177335 Andras Reichardt
72 1644177438 Andras Reichardt
68 1644177603 Andras Reichardt
68 1644177698 Andras Reichardt
75 1644177943 Andras Reichardt
83 1644178086 Andras Reichardt
100 1644178693 Andras Reichardt
72 1644178907 Andras Reichardt
64 1644179143 Andras Reichardt
69 1644179246 Andras Reichardt
69 1644179317 Andras Reichardt
51 1644179535 Andras Reichardt
104 1644179990 Andras Reichardt
55 1644184222 Andras Reichardt
78 1644184347 Andras Reichardt
74 1644184425 Andras Reichardt
81 1644212636 Andras Reichardt
66 1644214021 Andras Reichardt
83 1644250051 Andras Reichardt
60 1644250222 Andras Reichardt
60 1644250592 Andras Reichardt
61 1644250924 Andras Reichardt
62 1644251600 Andras Reichardt
64 1644251667 Andras Reichardt
72 1644251742 Andras Reichardt
71 1644251817 Andras Reichardt
75 1644252281 Andras Reichardt
50 1644252394 Andras Reichardt
67 1644252482 Andras Reichardt
75 1644252564 Andras Reichardt
64 1644252724 Andras Reichardt
69 1644257712 Andras Reichardt
69 1644258294 Andras Reichardt
65 1644263524 Andras Reichardt
61 1644263701 Andras Reichardt
86 1644265113 Andras Reichardt
56 1644266322 Andras Reichardt
62 1644268893 Andras Reichardt
63 1644272406 Andras Reichardt
58 1644272572 Andras Reichardt
60 1644298300 Andras Reichardt
57 1644299384 Andras Reichardt
61 1644300026 Andras Reichardt
69 1644300244 Andras Reichardt
62 1644300310 Andras Reichardt
57 1644343258 Andras Reichardt
70 1644343332 Andras Reichardt
60 1644343580 Andras Reichardt
72 1644343713 Andras Reichardt
62 1644343940 Andras Reichardt
73 1644344099 Andras Reichardt
76 1644344179 Andras Reichardt
75 1644348839 Andras Reichardt
84 1644348930 Andras Reichardt
75 1644349094 Andras Reichardt
78 1644349177 Andras Reichardt
65 1644349539 Andras Reichardt
74 1644349615 Andras Reichardt
53 1644427388 Andras Reichardt
66 1644427521 Andras Reichardt
100 1644427623 Andras Reichardt
66 1644427691 Andras Reichardt
118 1644427974 Andras Reichardt
60 1644428036 Andras Reichardt
64 1644432224 Andras Reichardt
67 1644432910 Andras Reichardt
97 1644433751 Andras Reichardt
80 1644434049 Andras Reichardt
60 1644434152 Andras Reichardt
74 1644434301 Andras Reichardt
56 1644435461 Andras Reichardt
103 1644441762 Andras Reichardt
83 1644441874 Andras Reichardt
67 1644441946 Andras Reichardt
56 1644442072 Andras Reichardt
54 1644443362 Andras Reichardt
68 1644521723 Andras Reichardt
66 1644521822 Andras Reichardt
61 1644521885 Andras Reichardt
64 1644521953 Andras Reichardt
74 1644532808 Andras Reichardt
60 1644532968 Andras Reichardt
80 1644557237 Andras Reichardt
79 1644557511 Andras Reichardt
80 1644557825 Andras Reichardt
69 1644558306 Andras Reichardt
73 1644558438 Andras Reichardt
69 1644558836 Andras Reichardt
68 1644603063 Andras Reichardt
112 1644603184 Andras Reichardt
72 1644603590 Andras Reichardt
79 1644603672 Andras Reichardt
75 1644617765 Andras Reichardt
75 1644655451 Andras Reichardt
78 1644655567 Andras Reichardt
71 1644655940 Andras Reichardt
76 1644656303 Andras Reichardt
54 1644656591 Andras Reichardt
68 1644656753 Andras Reichardt
61 1644657252 Andras Reichardt
62 1644657416 Andras Reichardt
68 1644657486 Andras Reichardt
68 1644657556 Andras Reichardt
65 1644682427 Andras Reichardt
65 1644682495 Andras Reichardt
75 1644682831 Andras Reichardt
71 1644682906 Andras Reichardt
63 1644683906 Andras Reichardt
70 1644683996 Andras Reichardt
68 1644684110 Andras Reichardt
85 1644684198 Andras Reichardt
67 1644691341 Andras Reichardt
61 1644691405 Andras Reichardt
72 1644692024 Andras Reichardt
90 1644692334 Andras Reichardt
58 1644692826 Andras Reichardt
77 1644694674 Andras Reichardt
71 1644694749 Andras Reichardt
86 1644694838 Andras Reichardt
74 1644703243 Andras Reichardt
86 1644741235 Andras Reichardt
67 1644741753 Andras Reichardt
73 1644755664 Andras Reichardt
58 1644755725 Andras Reichardt
64 1644755915 Andras Reichardt
65 1644756482 Andras Reichardt
70 1644756554 Andras Reichardt
70 1644756717 Andras Reichardt
60 1644758511 Andras Reichardt
56 1644777434 Andras Reichardt
77 1644777515 Andras Reichardt
85 1644777836 Andras Reichardt
97 1644778027 Andras Reichardt
62 1644778107 Andras Reichardt
71 1644778220 Andras Reichardt
137 1644779026 Andras Reichardt
78 1644779300 Andras Reichardt
111 1644779496 Andras Reichardt
67 1644779565 Andras Reichardt
58 1644779634 Andras Reichardt
64 1644779701 Andras Reichardt
55 1644779759 Andras Reichardt
68 1644779849 Andras Reichardt
72 1644779930 Andras Reichardt
80 1644780022 Andras Reichardt
73 1644780098 Andras Reichardt
65 1644857876 Andras Reichardt
70 1644858004 Andras Reichardt
69 1644860540 Andras Reichardt
78 1644860662 Andras Reichardt
63 1644860808 Andras Reichardt
71 1644860890 Andras Reichardt
73 1644867274 Andras Reichardt
63 1644874437 Andras Reichardt
59 1644874498 Andras Reichardt
68 1644874569 Andras Reichardt
54 1644874869 Andras Reichardt
66 1644876823 Andras Reichardt
80 1644876906 Andras Reichardt
72 1644876998 Andras Reichardt
65 1644877078 Andras Reichardt
56 1644877222 Andras Reichardt
59 1644877329 Andras Reichardt
59 1644877498 Andras Reichardt
74 1644904212 Andras Reichardt
73 1644905088 Andras Reichardt
77 1644905168 Andras Reichardt
88 1644905329 Andras Reichardt
78 1644905522 Andras Reichardt
68 1644954900 Andras Reichardt
51 1644955000 Andras Reichardt
78 1644955085 Andras Reichardt
78 1644960750 Andras Reichardt
75 1644960828 Andras Reichardt
77 1644961051 Andras Reichardt
92 1644961173 Andras Reichardt
74 1644963049 Andras Reichardt
71 1644963427 Andras Reichardt
85 1644989493 Andras Reichardt
95 1644989659 Andras Reichardt
92 1644989753 Andras Reichardt
76 1644989929 Andras Reichardt
110 1644990296 Andras Reichardt
66 1644990639 Andras Reichardt
63 1644990796 Andras Reichardt
67 1644991013 Andras Reichardt
64 1645121587 Andras Reichardt
94 1645121683 Andras Reichardt
80 1645121841 Andras Reichardt
